resource,logical_input,sample,min_eig,projection_frobenius
canonical,plus,35,0.007903989308369375,3.845421634036203e-16
canonical,plus_i,35,0.009141719749105192,2.324449051499705e-16
canonical,zero,36,0.005581889922834084,3.40073453478414e-16
canonical,one,36,0.01801696197507992,7.654055798246609e-16
canonical,plus,36,0.014780575906237499,1.729652841042493e-16
canonical,plus_i,36,0.01634138933118797,2.195488250546317e-16
canonical,zero,37,0.00507498963718143,6.731393502814571e-16
canonical,one,37,0.018595279393189793,6.958355822597239e-16
canonical,plus,37,0.01647113019950294,3.5125901600933376e-16
canonical,plus_i,37,0.015757027428020497,3.837433691211606e-16
canonical,zero,38,0.009706170812731969,7.83089140234232e-16
canonical,one,38,0.013840545298081802,6.380470922852563e-16
canonical,plus,38,0.005042075551681319,4.874665567512582e-16
canonical,plus_i,38,0.014624976191816016,6.759724316042246e-16
canonical,zero,39,0.013585415092753302,2.2771611562996064e-16
canonical,one,39,0.015058591590432593,7.953536324905962e-16
canonical,plus,39,0.010354332605685334,3.860100816290578e-16
canonical,plus_i,39,0.010741410641049902,1.6964240842542677e-16
canonical,zero,40,0.005996454365123437,1.1888315136640064e-16
canonical,one,40,0.0209002932111214,1.0496305421555241e-15
canonical,plus,40,0.011724812680991088,3.3660173543910416e-16
canonical,plus_i,40,0.013848006457971816,3.1284055782652917e-16
canonical,zero,41,0.007410460350013701,4.63120635213895e-16
canonical,one,41,0.020364338017193256,9.487662845365293e-16
canonical,plus,41,0.020958242293476936,4.790793866881196e-16
canonical,plus_i,41,0.012640714388266767,7.684700791568412e-16
canonical,zero,42,0.004598277905626356,2.2827891546147913e-16
canonical,one,42,0.01774818602329006,2.731521662187013e-16
canonical,plus,42,0.013493447714722424,3.8405471208623717e-16
canonical,plus_i,42,0.011337943616860887,2.534442649281638e-16
canonical,zero,43,0.009125829569782183,2.3120946246428384e-16
canonical,one,43,0.016737991291067737,1.989898839019262e-16
canonical,plus,43,0.013808095125101661,3.940956110183592e-16
canonical,plus_i,43,0.010110850478694856,6.372152716010512e-16
canonical,zero,44,0.010169026534866106,4.468112780254918e-16
canonical,one,44,0.018825449224466526,7.164077174603971e-16
canonical,plus,44,0.02363936936058331,2.3884144575981065e-16
canonical,plus_i,44,0.013841076578390435,3.8096093570066065e-16
canonical,zero,45,0.008166197644070904,6.694147989014483e-16
canonical,one,45,0.02007072847841002,8.074569393372512e-16
canonical,plus,45,0.012726325913702253,1.8308216831350732e-16
canonical,plus_i,45,0.009598664686239803,4.340350416436961e-16
canonical,zero,46,0.01098850781524918,2.5625769157906733e-16
canonical,one,46,0.019422876658443788,4.0626264153284123e-16
canonical,plus,46,0.013271951368931742,5.372758149921663e-16
canonical,plus_i,46,0.00985067808590168,6.732504049599725e-16
canonical,zero,47,0.011833894430449255,4.485950131857493e-16
canonical,one,47,0.02232731019530673,1.4642509073075386e-15
canonical,plus,47,0.01733537816288391,7.724166738322599e-16
canonical,plus_i,47,0.017612357978050188,3.8629452429921077e-16
canonical,zero,48,0.01192490603789371,2.3729264966827716e-16
canonical,one,48,0.015434030963989775,4.0084947005628916e-16
canonical,plus,48,0.02358029419905725,9.411810247331793e-16
canonical,plus_i,48,0.025683003510979577,4.710612772045264e-16
canonical,zero,49,0.0056096765174809314,1.2645088562864747e-16
canonical,one,49,0.018484664469362033,2.6195545083773666e-16
canonical,plus,49,0.015226499962375545,2.4142979310457555e-16
canonical,plus_i,49,0.0010771614724610652,5.105217803926478e-16
canonical,zero,50,0.006077926829380427,3.3869837279841647e-16
canonical,one,50,0.017800236949262693,1.4678341447417063e-15
canonical,plus,50,0.004156516937461166,5.880853304283578e-16
canonical,plus_i,50,0.0018488339825274954,1.4588320522539619e-15
canonical,zero,51,0.010360150792930588,6.677881334837651e-16
canonical,one,51,0.019255787238966947,7.108072698728308e-16
canonical,plus,51,0.01106007226994545,3.429102317803412e-16
canonical,plus_i,51,0.018563265529018907,3.5861395962295954e-16
canonical,zero,52,0.005078355176334596,1.2761865557361443e-16
canonical,one,52,0.018188250954043826,2.9835541792987246e-16
canonical,plus,52,0.021868432126824874,5.515397726525774e-16
canonical,plus_i,52,0.018608684568199182,2.1485746909718702e-16
canonical,zero,53,0.008366916816096791,1.2574838355904758e-16
canonical,one,53,0.020399867221423028,9.281652933294735e-16
canonical,plus,53,0.017250586296107238,5.029441744389081e-16
canonical,plus_i,53,0.01624462039727108,4.1288707789126073e-16
canonical,zero,54,0.009214053258365553,3.3682338483734186e-16
canonical,one,54,0.02322797218161699,7.102240594717551e-16
canonical,plus,54,0.019743865522598106,5.418102685815906e-16
canonical,plus_i,54,0.008768504943630157,1.7807260735199513e-16
canonical,zero,55,0.007295743883001674,2.301452477297144e-16
canonical,one,55,0.02270100703973775,6.898455268161494e-16
canonical,plus,55,0.017101768050102575,4.4304751400545123e-16
canonical,plus_i,55,0.01893494341233083,4.0862220650289813e-16
canonical,zero,56,0.006108435826554023,1.3736974161954423e-16
canonical,one,56,0.021122646324593937,8.612322405458235e-16
canonical,plus,56,0.022164541614236033,2.5651857949869387e-16
canonical,plus_i,56,0.007293682982132464,4.0194005254129664e-16
canonical,zero,57,0.015296545051146847,1.1502848556749672e-16
