resource,x,m,mode,sample,min_eig,projection_frobenius
canonical,0,0,recovered,43,0.013389846671249466,4.835963683197246e-16
canonical,0,0,raw,44,0.014621178134729433,1.3706513280868195e-16
canonical,0,0,recovered,44,0.007041385965625573,2.1057874654138132e-16
canonical,0,0,raw,45,0.012958187747419993,4.610879213331492e-16
canonical,0,0,recovered,45,0.013775779053942885,1.5684872202310216e-16
canonical,0,0,raw,46,0.012544078596372417,6.727357846715168e-16
canonical,0,0,recovered,46,0.008718887742606929,1.4950106176175063e-16
canonical,0,0,raw,47,0.011178959287546395,1.1112522008528966e-15
canonical,0,0,recovered,47,0.0151705770398728,3.4953817125379855e-16
canonical,0,0,raw,48,0.011338269142481372,5.269863224812692e-16
canonical,0,0,recovered,48,0.006380345098771327,3.4550840693658746e-16
canonical,0,0,raw,49,0.005100655287823161,1.9259440981181722e-16
canonical,0,0,recovered,49,0.004012685631071004,4.945004152447835e-16
canonical,0,0,raw,50,0.006364095441438273,8.883271144750276e-16
canonical,0,0,recovered,50,0.01486515140786625,5.752171454726703e-16
canonical,0,0,raw,51,0.008705775411559173,2.662532120255263e-16
canonical,0,0,recovered,51,-0.003064556697403816,0.003538645268385936
canonical,0,0,raw,52,0.017838723633736474,4.745080141566373e-16
canonical,0,0,recovered,52,0.004798474088897734,3.820658308175865e-16
canonical,0,0,raw,53,0.014426262543967616,3.2453067049750795e-16
canonical,0,0,recovered,53,0.002647727502200867,2.815213564912764e-16
canonical,0,0,raw,54,0.009983918276099872,2.4892922995427957e-16
canonical,0,0,recovered,54,0.00706920754936657,2.508370556825079e-16
canonical,0,0,raw,55,0.011282266985556493,4.2141118384840094e-16
canonical,0,0,recovered,55,0.0032683083120596066,5.668728222844527e-16
canonical,0,0,raw,56,-0.002703020892260687,0.0031211796795437823
canonical,0,0,recovered,56,0.006739747593856423,3.046607333010026e-16
canonical,0,0,raw,57,0.013738536798037292,7.049204882903616e-16
canonical,0,0,recovered,57,0.01029166882685119,7.328858040953336e-16
canonical,0,0,raw,58,0.010532821960313146,2.0188228751692446e-16
canonical,0,0,recovered,58,0.007130658331448585,6.769012120942911e-16
canonical,0,0,raw,59,0.005389778780751331,4.139710497392287e-16
canonical,0,0,recovered,59,0.01359801393829889,4.885553099128808e-16
canonical,0,0,raw,60,0.01398943335491444,2.5256358707577097e-16
canonical,0,0,recovered,60,0.009091394676664732,4.566978725179766e-16
canonical,0,0,raw,61,0.015606334505687937,4.3189084331302297e-16
canonical,0,0,recovered,61,0.017360210147112944,4.352967891718066e-16
canonical,0,0,raw,62,0.012844375129574169,6.904114985963321e-16
canonical,0,0,recovered,62,0.00922035299502982,5.287426234488244e-16
canonical,0,0,raw,63,0.002820643592126057,3.440757658846743e-16
canonical,0,0,recovered,63,0.015460337370883676,5.013020697016453e-16
canonical,0,0,raw,64,0.02006238482788754,2.026209432327421e-16
canonical,0,0,recovered,64,0.012283966441165976,5.055416978380272e-16
canonical,0,0,raw,65,0.014587808034681847,2.674993539278246e-16
canonical,0,0,recovered,65,0.015612468871398796,4.2104672751142005e-16
canonical,0,0,raw,66,0.009144579038349988,4.622542721314469e-16
canonical,0,0,recovered,66,0.011300217919335661,3.594903123758885e-16
canonical,0,0,raw,67,0.012680916485253334,3.859752424813346e-16
canonical,0,0,recovered,67,0.010186591301277496,4.737388360310745e-16
canonical,0,0,raw,68,0.006277395578883288,7.479445520494878e-16
canonical,0,0,recovered,68,0.005532534706587032,4.3325174630856106e-16
canonical,0,0,raw,69,0.001485040612998267,4.811935000736284e-16
canonical,0,0,recovered,69,0.011680374877039722,1.1257840810706869e-16
canonical,0,0,raw,70,0.011596932746443373,4.0010203933674356e-16
canonical,0,0,recovered,70,0.015679436884496974,7.46400179790591e-16
canonical,0,0,raw,71,0.011957625347114477,3.7423178832375537e-16
canonical,0,0,recovered,71,0.009560588075369993,2.646798436006065e-16
canonical,0,0,raw,72,0.009797078063596457,4.435879069179024e-16
canonical,0,0,recovered,72,0.010697429660191018,4.12292991603686e-16
canonical,0,0,raw,73,0.006681434320411386,3.6805225764283986e-16
canonical,0,0,recovered,73,0.008281854136933026,2.5123455959392247e-16
canonical,0,0,raw,74,0.013178395294779743,8.02903647723481e-16
canonical,0,0,recovered,74,0.010694240040410327,6.837975000202378e-16
canonical,0,0,raw,75,0.005295997917524185,2.302565669123629e-16
canonical,0,0,recovered,75,0.00906642240195247,3.6937799000168275e-16
canonical,0,0,raw,76,0.011362769070044859,5.958085649793243e-16
canonical,0,0,recovered,76,0.0035002536758238054,1.9202025497852232e-16
canonical,0,0,raw,77,0.017748685879294193,2.240569829575419e-16
canonical,0,0,recovered,77,0.010783780218232569,1.8674380805403618e-16
canonical,0,0,raw,78,0.00441342912805303,2.527820097161243e-16
canonical,0,0,recovered,78,0.013460677768222898,4.680930597202288e-16
canonical,0,0,raw,79,0.009480816344093507,2.9072860533445626e-16
